age,bigram_freq,bigram_frequency,concreteness,correct,diversity,dm_source_file,freq,initial,item,letters,response_time,sex,subject_nr,trans_prob,word_freq
27,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,416,1,1,0,493.85
23,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,1061,1,2,0,493.85
20,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,846,0,3,0,493.85
20,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,520,1,4,0,493.85
20,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,972,1,5,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,1175,1,6,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,685,1,7,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,339,1,8,0,493.85
41,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,990,1,9,0,493.85
20,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,1111,1,10,0,493.85
20,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,1019,1,11,0,493.85
20,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,425,1,12,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,783,1,13,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,894,1,14,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,669,1,15,0,493.85
23,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,480,1,16,0,493.85
21,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,627,0,17,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,891,1,18,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,1030,1,19,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,697,1,20,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,971,1,21,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,960,1,22,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,881,1,23,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,371,1,24,0,493.85
18,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,897,1,25,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,972,1,26,0,493.85
22,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,688,1,27,0,493.85
19,0,,3.3,0,0,Exp1_raw.xlsx,,abase,number,6,344,0,28,0,493.85
20,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,650,0,29,0,493.85
19,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,841,0,30,0,493.85
25,0,,3.3,1,0,Exp1_raw.xlsx,,abase,number,6,1177,0,31,0,493.85
27,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,382,1,1,0.006038647,65.17
23,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,605,1,2,0.006038647,65.17
20,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,520,0,3,0.006038647,65.17
20,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,433,1,4,0.006038647,65.17
20,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,562,1,5,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,588,1,6,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,638,1,7,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,485,1,8,0.006038647,65.17
41,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,523,1,9,0.006038647,65.17
20,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,420,1,10,0.006038647,65.17
20,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,424,1,11,0.006038647,65.17
20,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,259,1,12,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,707,1,13,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,790,1,14,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,533,1,15,0.006038647,65.17
23,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,394,1,16,0.006038647,65.17
21,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,540,0,17,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,611,1,18,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,482,1,19,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,396,1,20,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,496,1,21,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,690,1,22,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,572,1,23,0.006038647,65.17
19,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,599,1,24,0.006038647,65.17
18,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,588,1,25,0.006038647,65.17
19,437,,4.97,0,70,Exp1_raw.xlsx,,acid,rain,4,520,1,26,0.006038647,65.17
22,437,,4.97,1,70,Exp1_raw.xlsx,,acid,rain,4,465,1,27,0.006038647,65.17
